Region_Name,Region_Code,Island_Code
Mariana Archipelago,CNMI,AGR
Mariana Archipelago,CNMI,AGU
Mariana Archipelago,CNMI,ALA
Mariana Archipelago,CNMI,ANA
Mariana Archipelago,CNMI,ASC
Pacific Remote Island Areas,PRIA,BAK
Mariana Archipelago,CNMI,FDP
Northwestern Hawaiian Islands,NWHI,FFS
Northwestern Hawaiian Islands,NWHI,GAR
Mariana Archipelago,Guam,GUA
Mariana Archipelago,CNMI,GUG
Main Hawaiian Islands,MHI,HAW
Pacific Remote Island Areas,PRIA,HOW
Pacific Remote Island Areas,PRIA,JAR
Pacific Remote Island Areas,PRIA,JOH
Main Hawaiian Islands,MHI,KAH
Main Hawaiian Islands,MHI,KAU
Main Hawaiian Islands,MHI,KAL
Pacific Remote Island Areas,PRIA,KIN
Northwestern Hawaiian Islands,NWHI,KUR
Main Hawaiian Islands,MHI,LAN
Northwestern Hawaiian Islands,NWHI,LAY
Main Hawaiian Islands,MHI,LEH
Northwestern Hawaiian Islands,NWHI,LIS
Northwestern Hawaiian Islands,NWHI,MAR
Mariana Archipelago,CNMI,MAU
Main Hawaiian Islands,MHI,MAI
Northwestern Hawaiian Islands,NWHI,MID
Main Hawaiian Islands,MHI,MOL
Main Hawaiian Islands,MHI,MOI
Northwestern Hawaiian Islands,NWHI,NEC
Northwestern Hawaiian Islands,NWHI,NIH
Main Hawaiian Islands,MHI,NII
Main Hawaiian Islands,MHI,OAH
American Samoa,AMSM,OFU
American Samoa,AMSM,OLO
Mariana Archipelago,CNMI,PAG
Pacific Remote Island Areas,PRIA,PAL
Mariana Archipelago,CNMI,PAT
Northwestern Hawaiian Islands,NWHI,PHR
American Samoa,AMSM,ROS
Mariana Archipelago,CNMI,ROT
Mariana Archipelago,CNMI,SAI
Mariana Archipelago,CNMI,SRR
Mariana Archipelago,CNMI,SAR
American Samoa,AMSM,SWA
American Samoa,AMSM,TAU
Mariana Archipelago,CNMI,TIN
American Samoa,AMSM,TUT
Pacific Remote Island Areas,PRIA,WAK
